Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform,Genre,Publisher
1,2006.0,41.49,29.02,3.77,8.46,82.74,26,10,10
2,1985.0,29.08,3.58,6.81,0.77,40.24,11,4,4
3,2008.0,15.85,12.88,3.79,3.31,35.82,26,6,6
4,2009.0,15.75,11.01,3.28,2.96,33.0,26,10,10
5,1996.0,11.27,8.89,10.22,1.0,31.37,5,7,7
6,1989.0,23.2,2.26,4.22,0.58,30.26,5,5,5
7,2006.0,11.38,9.23,6.5,2.9,30.01,4,4,4
8,2006.0,14.03,9.2,2.93,2.85,29.02,26,3,3
9,2009.0,14.59,7.06,4.7,2.26,28.62,26,4,4
10,1984.0,26.93,0.63,0.28,0.47,28.31,11,8,8
11,2005.0,9.07,11.0,1.93,2.75,24.76,4,9,9
12,2005.0,9.81,7.57,4.13,1.92,23.42,4,6,6
13,1999.0,9.0,6.18,7.2,0.71,23.1,5,7,7
14,2007.0,8.94,8.03,3.6,2.15,22.72,26,10,10
15,2009.0,9.09,8.59,2.53,1.79,22.0,26,10,10
16,2010.0,14.97,4.94,0.24,1.67,21.82,28,3,3
17,2013.0,7.01,9.27,0.97,4.14,21.4,17,0,0
18,2004.0,9.43,0.4,0.41,10.57,20.81,16,0,0
19,1990.0,12.78,3.75,3.54,0.55,20.61,23,4,4
20,2005.0,4.75,9.26,4.16,2.05,20.22,4,3,3
21,2006.0,6.42,4.52,6.04,1.37,18.36,4,7,7
22,1989.0,10.83,2.71,4.18,0.42,18.14,5,4,4
23,1988.0,9.54,3.44,3.84,0.46,17.28,11,4,4
24,2013.0,9.63,5.31,0.06,1.38,16.38,28,0,0
25,2002.0,8.41,5.49,0.47,1.78,16.15,16,0,0
26,2002.0,6.06,3.9,5.38,0.5,15.85,6,7,7
27,2010.0,5.57,3.28,5.65,0.82,15.32,4,7,7
28,2005.0,3.44,5.36,5.32,1.18,15.3,4,5,5
29,2001.0,6.85,5.09,1.87,1.16,14.98,16,6,6
30,2011.0,9.03,4.28,0.13,1.32,14.76,28,8,8
31,1998.0,5.89,5.04,3.12,0.59,14.64,5,7,7
32,2010.0,9.67,3.73,0.11,1.13,14.64,28,8,8
33,2013.0,5.17,4.05,4.34,0.79,14.35,2,7,7
34,2015.0,5.77,5.81,0.35,2.31,14.24,18,8,8
35,2012.0,4.99,5.88,0.65,2.52,14.03,17,8,8
36,2012.0,8.25,4.3,0.07,1.12,13.73,28,8,8
37,2009.0,8.52,3.63,0.08,1.29,13.51,28,8,8
38,2011.0,5.54,5.82,0.49,1.62,13.46,17,8,8
39,2001.0,6.99,4.51,0.3,1.3,13.1,16,0,0
40,2008.0,6.75,2.61,2.66,1.02,13.04,26,2,2
41,2010.0,5.98,4.44,0.48,1.83,12.73,17,8,8
42,2005.0,2.55,3.52,5.33,0.88,12.27,4,9,9
43,2011.0,4.74,3.91,2.67,0.89,12.21,2,6,6
